Date : 2024-06-30 21:33:42
Directory : d:\se\carplate
Total : 839 files,  131265 codes, 3783 comments, 21226 blanks, all 156274 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| d:\se\carplate\front\src\views\template\upload-file-input.vue                                             | vue          |        160 |          0 |          3 |        163 |
| d:\se\carplate\front\src\views\template\upload-pic-input.vue                                              | vue          |        153 |          0 |          2 |        155 |
| d:\se\carplate\front\src\views\template\upload-pic-thumb.vue                                              | vue          |        292 |          0 |         11 |        303 |
| d:\se\carplate\front\src\views\template\user-choose.vue                                                   | vue          |        263 |          0 |          5 |        268 |
| d:\se\carplate\front\vue.config.js                                                                        | JavaScript   |         22 |          0 |          1 |         23 |
| d:\se\carplate\yolov10-pose\.github\ISSUE_TEMPLATE\bug-report.yml                                         | YAML         |         86 |          3 |         10 |         99 |
| d:\se\carplate\yolov10-pose\.github\ISSUE_TEMPLATE\config.yml                                             | YAML         |         11 |          1 |          2 |         14 |
| d:\se\carplate\yolov10-pose\.github\ISSUE_TEMPLATE\feature-request.yml                                    | YAML         |         44 |          2 |          7 |         53 |
| d:\se\carplate\yolov10-pose\.github\ISSUE_TEMPLATE\question.yml                                           | YAML         |         29 |          2 |          5 |         36 |
| d:\se\carplate\yolov10-pose\.github\dependabot.yml                                                        | YAML         |         22 |          3 |          3 |         28 |
| d:\se\carplate\yolov10-pose\.github\workflows\ci.yaml                                                     | YAML         |        374 |          6 |         11 |        391 |
| d:\se\carplate\yolov10-pose\.github\workflows\cla.yml                                                     | YAML         |         35 |          5 |          5 |         45 |
| d:\se\carplate\yolov10-pose\.github\workflows\codeql.yaml                                                 | YAML         |         28 |          7 |          8 |         43 |
| d:\se\carplate\yolov10-pose\.github\workflows\docker.yaml                                                 | YAML         |        149 |          6 |         16 |        171 |
| d:\se\carplate\yolov10-pose\.github\workflows\format.yml                                                  | YAML         |         23 |          3 |          4 |         30 |
| d:\se\carplate\yolov10-pose\.github\workflows\greetings.yml                                               | YAML         |         36 |          4 |         19 |         59 |
| d:\se\carplate\yolov10-pose\.github\workflows\links.yml                                                   | YAML         |         76 |          8 |          7 |         91 |
| d:\se\carplate\yolov10-pose\.github\workflows\merge-main-into-prs.yml                                     | YAML         |         40 |         11 |          8 |         59 |
| d:\se\carplate\yolov10-pose\.github\workflows\publish.yml                                                 | YAML         |        194 |         10 |         14 |        218 |
| d:\se\carplate\yolov10-pose\.github\workflows\stale.yml                                                   | YAML         |         33 |          1 |         14 |         48 |
| d:\se\carplate\yolov10-pose\.pre-commit-config.yaml                                                       | YAML         |         49 |         26 |         12 |         87 |
| d:\se\carplate\yolov10-pose\CITATION.cff                                                                  | YAML         |         24 |          1 |          2 |         27 |
| d:\se\carplate\yolov10-pose\CONTRIBUTING.md                                                               | Markdown     |         89 |          0 |         46 |        135 |
| d:\se\carplate\yolov10-pose\CameraTest.py                                                                 | Python       |         45 |        165 |         10 |        220 |
| d:\se\carplate\yolov10-pose\README.md                                                                     | Markdown     |        181 |          0 |         47 |        228 |
| d:\se\carplate\yolov10-pose\README.zh-CN.md                                                               | Markdown     |        215 |          0 |         85 |        300 |
| d:\se\carplate\yolov10-pose\camera.py                                                                     | Python       |         52 |         10 |          6 |         68 |
| d:\se\carplate\yolov10-pose\create_dataset_yolo-pose.py                                                   | Python       |         69 |         11 |          9 |         89 |
| d:\se\carplate\yolov10-pose\detect_tools.py                                                               | Python       |         54 |         17 |         21 |         92 |
| d:\se\carplate\yolov10-pose\docker\Dockerfile                                                             | Docker       |         21 |         43 |         23 |         87 |
| d:\se\carplate\yolov10-pose\docs\README.md                                                                | Markdown     |         98 |          0 |         48 |        146 |
| d:\se\carplate\yolov10-pose\docs\build_docs.py                                                            | Python       |        114 |         18 |         42 |        174 |
| d:\se\carplate\yolov10-pose\docs\build_reference.py                                                       | Python       |        106 |          6 |         34 |        146 |
| d:\se\carplate\yolov10-pose\docs\coming_soon_template.md                                                  | Markdown     |         21 |          0 |         14 |         35 |
| d:\se\carplate\yolov10-pose\docs\en\guides\analytics.md                                                   | Markdown     |        246 |          0 |         81 |        327 |
| d:\se\carplate\yolov10-pose\docs\en\guides\azureml-quickstart.md                                          | Markdown     |        103 |          0 |         50 |        153 |
| d:\se\carplate\yolov10-pose\docs\en\guides\conda-quickstart.md                                            | Markdown     |         83 |          0 |         47 |        130 |
| d:\se\carplate\yolov10-pose\docs\en\guides\coral-edge-tpu-on-raspberry-pi.md                              | Markdown     |         91 |          0 |         50 |        141 |
| d:\se\carplate\yolov10-pose\docs\en\guides\data-collection-and-annotation.md                              | Markdown     |         99 |          0 |         70 |        169 |
| d:\se\carplate\yolov10-pose\docs\en\guides\defining-project-goals.md                                      | Markdown     |         85 |          0 |         60 |        145 |
| d:\se\carplate\yolov10-pose\docs\en\guides\distance-calculation.md                                        | Markdown     |         76 |          0 |         28 |        104 |
| d:\se\carplate\yolov10-pose\docs\en\guides\docker-quickstart.md                                           | Markdown     |        146 |          0 |         81 |        227 |
| d:\se\carplate\yolov10-pose\docs\en\guides\heatmaps.md                                                    | Markdown     |        258 |          0 |         74 |        332 |
| d:\se\carplate\yolov10-pose\docs\en\guides\hyperparameter-tuning.md                                       | Markdown     |        142 |          0 |         66 |        208 |
| d:\se\carplate\yolov10-pose\docs\en\guides\index.md                                                       | Markdown     |         46 |          0 |         12 |         58 |
| d:\se\carplate\yolov10-pose\docs\en\guides\instance-segmentation-and-tracking.md                          | Markdown     |         97 |          0 |         41 |        138 |
| d:\se\carplate\yolov10-pose\docs\en\guides\isolating-segmentation-objects.md                              | Markdown     |        198 |          0 |        112 |        310 |
| d:\se\carplate\yolov10-pose\docs\en\guides\kfold-cross-validation.md                                      | Markdown     |        198 |          0 |         85 |        283 |
| d:\se\carplate\yolov10-pose\docs\en\guides\model-deployment-options.md                                    | Markdown     |        162 |          0 |        144 |        306 |
| d:\se\carplate\yolov10-pose\docs\en\guides\nvidia-jetson.md                                               | Markdown     |        242 |          0 |        115 |        357 |
| d:\se\carplate\yolov10-pose\docs\en\guides\object-blurring.md                                             | Markdown     |         78 |          0 |         24 |        102 |
| d:\se\carplate\yolov10-pose\docs\en\guides\object-counting.md                                             | Markdown     |        199 |          0 |         57 |        256 |
| d:\se\carplate\yolov10-pose\docs\en\guides\object-cropping.md                                             | Markdown     |         86 |          0 |         28 |        114 |
| d:\se\carplate\yolov10-pose\docs\en\guides\optimizing-openvino-latency-vs-throughput-modes.md             | Markdown     |         41 |          0 |         28 |         69 |
| d:\se\carplate\yolov10-pose\docs\en\guides\parking-management.md                                          | Markdown     |         84 |          0 |         39 |        123 |
| d:\se\carplate\yolov10-pose\docs\en\guides\preprocessing_annotated_data.md                                | Markdown     |         91 |          0 |         66 |        157 |
| d:\se\carplate\yolov10-pose\docs\en\guides\queue-management.md                                            | Markdown     |        104 |          0 |         39 |        143 |
| d:\se\carplate\yolov10-pose\docs\en\guides\raspberry-pi.md                                                | Markdown     |        251 |          0 |        127 |        378 |
| d:\se\carplate\yolov10-pose\docs\en\guides\region-counting.md                                             | Markdown     |         62 |          0 |         25 |         87 |
| d:\se\carplate\yolov10-pose\docs\en\guides\ros-quickstart.md                                              | Markdown     |        346 |          0 |        169 |        515 |
| d:\se\carplate\yolov10-pose\docs\en\guides\sahi-tiled-inference.md                                        | Markdown     |        149 |          0 |         57 |        206 |
| d:\se\carplate\yolov10-pose\docs\en\guides\security-alarm-system.md                                       | Markdown     |        139 |          0 |         40 |        179 |
| d:\se\carplate\yolov10-pose\docs\en\guides\speed-estimation.md                                            | Markdown     |         81 |          0 |         30 |        111 |
| d:\se\carplate\yolov10-pose\docs\en\guides\steps-of-a-cv-project.md                                       | Markdown     |        124 |          0 |         88 |        212 |
| d:\se\carplate\yolov10-pose\docs\en\guides\triton-inference-server.md                                     | Markdown     |        103 |          0 |         42 |        145 |
| d:\se\carplate\yolov10-pose\docs\en\guides\view-results-in-terminal.md                                    | Markdown     |         94 |          0 |         48 |        142 |
| d:\se\carplate\yolov10-pose\docs\en\guides\vision-eye.md                                                  | Markdown     |        122 |          0 |         58 |        180 |
| d:\se\carplate\yolov10-pose\docs\en\guides\workouts-monitoring.md                                         | Markdown     |        125 |          0 |         34 |        159 |
| d:\se\carplate\yolov10-pose\docs\en\guides\yolo-common-issues.md                                          | Markdown     |        166 |          0 |        122 |        288 |
| d:\se\carplate\yolov10-pose\docs\en\guides\yolo-performance-metrics.md                                    | Markdown     |         95 |          0 |         82 |        177 |
| d:\se\carplate\yolov10-pose\docs\en\guides\yolo-thread-safe-inference.md                                  | Markdown     |         71 |          0 |         43 |        114 |
| d:\se\carplate\yolov10-pose\docs\en\help\CI.md                                                            | Markdown     |         40 |          0 |         22 |         62 |
| d:\se\carplate\yolov10-pose\docs\en\help\CLA.md                                                           | Markdown     |         16 |          0 |         13 |         29 |
| d:\se\carplate\yolov10-pose\docs\en\help\FAQ.md                                                           | Markdown     |         24 |          0 |         16 |         40 |
| d:\se\carplate\yolov10-pose\docs\en\help\code_of_conduct.md                                               | Markdown     |         49 |          0 |         37 |         86 |
| d:\se\carplate\yolov10-pose\docs\en\help\contributing.md                                                  | Markdown     |         88 |          0 |         44 |        132 |
| d:\se\carplate\yolov10-pose\docs\en\help\environmental-health-safety.md                                   | Markdown     |         21 |          0 |         17 |         38 |
| d:\se\carplate\yolov10-pose\docs\en\help\index.md                                                         | Markdown     |         16 |          0 |          4 |         20 |
| d:\se\carplate\yolov10-pose\docs\en\help\minimum_reproducible_example.md                                  | Markdown     |         48 |          0 |         32 |         80 |
| d:\se\carplate\yolov10-pose\docs\en\help\privacy.md                                                       | Markdown     |         87 |          0 |         51 |        138 |
| d:\se\carplate\yolov10-pose\docs\en\help\security.md                                                      | Markdown     |         20 |          0 |         17 |         37 |
| d:\se\carplate\yolov10-pose\docs\en\hub\api\index.md                                                      | Markdown     |         21 |          0 |         14 |         35 |
| d:\se\carplate\yolov10-pose\docs\en\hub\app\android.md                                                    | Markdown     |         72 |          0 |         29 |        101 |
| d:\se\carplate\yolov10-pose\docs\en\hub\app\index.md                                                      | Markdown     |         40 |          0 |          9 |         49 |
| d:\se\carplate\yolov10-pose\docs\en\hub\app\ios.md                                                        | Markdown     |         66 |          0 |         25 |         91 |
| d:\se\carplate\yolov10-pose\docs\en\hub\cloud-training.md                                                 | Markdown     |         62 |          0 |         42 |        104 |
| d:\se\carplate\yolov10-pose\docs\en\hub\datasets.md                                                       | Markdown     |         94 |          0 |         74 |        168 |
| d:\se\carplate\yolov10-pose\docs\en\hub\index.md                                                          | Markdown     |         66 |          0 |         13 |         79 |
| d:\se\carplate\yolov10-pose\docs\en\hub\inference-api.md                                                  | Markdown     |        331 |          0 |        115 |        446 |
| d:\se\carplate\yolov10-pose\docs\en\hub\integrations.md                                                   | Markdown     |         82 |          0 |         60 |        142 |
| d:\se\carplate\yolov10-pose\docs\en\hub\models.md                                                         | Markdown     |        172 |          0 |        137 |        309 |
| d:\se\carplate\yolov10-pose\docs\en\hub\pro.md                                                            | Markdown     |         34 |          0 |         27 |         61 |
| d:\se\carplate\yolov10-pose\docs\en\hub\projects.md                                                       | Markdown     |         97 |          0 |         85 |        182 |
| d:\se\carplate\yolov10-pose\docs\en\hub\quickstart.md                                                     | Markdown     |         57 |          0 |         45 |        102 |
| d:\se\carplate\yolov10-pose\docs\en\hub\teams.md                                                          | Markdown     |         98 |          0 |         94 |        192 |
| d:\se\carplate\yolov10-pose\docs\en\index.md                                                              | Markdown     |         81 |          0 |         15 |         96 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\amazon-sagemaker.md                                      | Markdown     |        108 |          0 |         64 |        172 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\clearml.md                                               | Markdown     |        116 |          0 |         72 |        188 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\comet.md                                                 | Markdown     |        110 |          0 |         69 |        179 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\coreml.md                                                | Markdown     |         74 |          0 |         53 |        127 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\dvc.md                                                   | Markdown     |        106 |          0 |         66 |        172 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\edge-tpu.md                                              | Markdown     |         69 |          0 |         50 |        119 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\google-colab.md                                          | Markdown     |         65 |          0 |         46 |        111 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\gradio.md                                                | Markdown     |         89 |          0 |         30 |        119 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\index.md                                                 | Markdown     |         71 |          0 |         44 |        115 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\mlflow.md                                                | Markdown     |         74 |          0 |         44 |        118 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\ncnn.md                                                  | Markdown     |         70 |          0 |         51 |        121 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\neural-magic.md                                          | Markdown     |         98 |          0 |         65 |        163 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\onnx.md                                                  | Markdown     |         78 |          0 |         57 |        135 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\openvino.md                                              | Markdown     |        211 |          0 |         74 |        285 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\paddlepaddle.md                                          | Markdown     |         71 |          0 |         52 |        123 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\paperspace.md                                            | Markdown     |         52 |          0 |         35 |         87 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\ray-tune.md                                              | Markdown     |        130 |          0 |         56 |        186 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\roboflow.md                                              | Markdown     |        154 |          0 |         90 |        244 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\tensorboard.md                                           | Markdown     |         86 |          0 |         68 |        154 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\tensorrt.md                                              | Markdown     |        296 |          0 |        160 |        456 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\tf-graphdef.md                                           | Markdown     |         73 |          0 |         54 |        127 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\tf-savedmodel.md                                         | Markdown     |         70 |          0 |         51 |        121 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\tfjs.md                                                  | Markdown     |         69 |          0 |         50 |        119 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\tflite.md                                                | Markdown     |         72 |          0 |         51 |        123 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\torchscript.md                                           | Markdown     |         72 |          0 |         55 |        127 |
| d:\se\carplate\yolov10-pose\docs\en\integrations\weights-biases.md                                        | Markdown     |         91 |          0 |         61 |        152 |
| d:\se\carplate\yolov10-pose\docs\en\models\fast-sam.md                                                    | Markdown     |        158 |          0 |         83 |        241 |
| d:\se\carplate\yolov10-pose\docs\en\models\index.md                                                       | Markdown     |         67 |          0 |         31 |         98 |
| d:\se\carplate\yolov10-pose\docs\en\models\mobile-sam.md                                                  | Markdown     |         75 |          0 |         45 |        120 |
| d:\se\carplate\yolov10-pose\docs\en\models\rtdetr.md                                                      | Markdown     |         71 |          0 |         33 |        104 |
| d:\se\carplate\yolov10-pose\docs\en\models\sam.md                                                         | Markdown     |        151 |          0 |         77 |        228 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolo-nas.md                                                    | Markdown     |         80 |          0 |         41 |        121 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolo-world.md                                                  | Markdown     |        226 |          0 |        112 |        338 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov10.md                                                     | Markdown     |        149 |          0 |         60 |        209 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov3.md                                                      | Markdown     |         62 |          0 |         37 |         99 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov4.md                                                      | Markdown     |         42 |          0 |         29 |         71 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov5.md                                                      | Markdown     |         77 |          0 |         38 |        115 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov6.md                                                      | Markdown     |         72 |          0 |         35 |        107 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov7.md                                                      | Markdown     |         39 |          0 |         27 |         66 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov8.md                                                      | Markdown     |        133 |          0 |         54 |        187 |
| d:\se\carplate\yolov10-pose\docs\en\models\yolov9.md                                                      | Markdown     |        114 |          0 |         66 |        180 |
| d:\se\carplate\yolov10-pose\docs\en\modes\benchmark.md                                                    | Markdown     |         78 |          0 |         29 |        107 |
| d:\se\carplate\yolov10-pose\docs\en\modes\export.md                                                       | Markdown     |         84 |          0 |         29 |        113 |
| d:\se\carplate\yolov10-pose\docs\en\modes\index.md                                                        | Markdown     |         46 |          0 |         28 |         74 |
| d:\se\carplate\yolov10-pose\docs\en\modes\predict.md                                                      | Markdown     |        581 |          0 |        222 |        803 |
| d:\se\carplate\yolov10-pose\docs\en\modes\track.md                                                        | Markdown     |        251 |          0 |        119 |        370 |
| d:\se\carplate\yolov10-pose\docs\en\modes\train.md                                                        | Markdown     |        235 |          0 |        104 |        339 |
| d:\se\carplate\yolov10-pose\docs\en\modes\val.md                                                          | Markdown     |         88 |          0 |         36 |        124 |
| d:\se\carplate\yolov10-pose\docs\en\quickstart.md                                                         | Markdown     |        238 |          0 |        102 |        340 |
| d:\se\carplate\yolov10-pose\docs\en\reference\cfg\__init__.md                                             | Markdown     |         36 |          0 |         33 |         69 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\annotator.md                                           | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\augment.md                                             | Markdown     |         46 |          0 |         43 |         89 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\base.md                                                | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\build.md                                               | Markdown     |         24 |          0 |         21 |         45 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\converter.md                                           | Markdown     |         22 |          0 |         19 |         41 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\dataset.md                                             | Markdown     |         20 |          0 |         17 |         37 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\explorer\explorer.md                                   | Markdown     |         13 |          0 |          9 |         22 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\explorer\gui\dash.md                                   | Markdown     |         31 |          0 |         27 |         58 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\explorer\utils.md                                      | Markdown     |         19 |          0 |         15 |         34 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\loaders.md                                             | Markdown     |         24 |          0 |         21 |         45 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\split_dota.md                                          | Markdown     |         24 |          0 |         21 |         45 |
| d:\se\carplate\yolov10-pose\docs\en\reference\data\utils.md                                               | Markdown     |         40 |          0 |         37 |         77 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\exporter.md                                          | Markdown     |         18 |          0 |         15 |         33 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\model.md                                             | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\predictor.md                                         | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\results.md                                           | Markdown     |         22 |          0 |         19 |         41 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\trainer.md                                           | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\tuner.md                                             | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\engine\validator.md                                         | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\hub\__init__.md                                             | Markdown     |         22 |          0 |         19 |         41 |
| d:\se\carplate\yolov10-pose\docs\en\reference\hub\auth.md                                                 | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\hub\session.md                                              | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\hub\utils.md                                                | Markdown     |         16 |          0 |         13 |         29 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\fastsam\model.md                                     | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\fastsam\predict.md                                   | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\fastsam\prompt.md                                    | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\fastsam\utils.md                                     | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\fastsam\val.md                                       | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\nas\model.md                                         | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\nas\predict.md                                       | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\nas\val.md                                           | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\rtdetr\model.md                                      | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\rtdetr\predict.md                                    | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\rtdetr\train.md                                      | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\rtdetr\val.md                                        | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\amg.md                                           | Markdown     |         30 |          0 |         27 |         57 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\build.md                                         | Markdown     |         20 |          0 |         17 |         37 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\model.md                                         | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\modules\decoders.md                              | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\modules\encoders.md                              | Markdown     |         28 |          0 |         25 |         53 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\modules\sam.md                                   | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\modules\tiny_encoder.md                          | Markdown     |         30 |          0 |         27 |         57 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\modules\transformer.md                           | Markdown     |         14 |          0 |         11 |         25 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\sam\predict.md                                       | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\utils\loss.md                                        | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\utils\ops.md                                         | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\classify\predict.md                             | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\classify\train.md                               | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\classify\val.md                                 | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\detect\predict.md                               | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\detect\train.md                                 | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\detect\val.md                                   | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\model.md                                        | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\obb\predict.md                                  | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\obb\train.md                                    | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\obb\val.md                                      | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\pose\predict.md                                 | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\pose\train.md                                   | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\pose\val.md                                     | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\segment\predict.md                              | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\segment\train.md                                | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\segment\val.md                                  | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\world\train.md                                  | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\models\yolo\world\train_world.md                            | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\autobackend.md                                           | Markdown     |         14 |          0 |         11 |         25 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\modules\block.md                                         | Markdown     |         86 |          0 |         83 |        169 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\modules\conv.md                                          | Markdown     |         36 |          0 |         33 |         69 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\modules\head.md                                          | Markdown     |         24 |          0 |         21 |         45 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\modules\transformer.md                                   | Markdown     |         28 |          0 |         25 |         53 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\modules\utils.md                                         | Markdown     |         18 |          0 |         15 |         33 |
| d:\se\carplate\yolov10-pose\docs\en\reference\nn\tasks.md                                                 | Markdown     |         42 |          0 |         39 |         81 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\ai_gym.md                                         | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\analytics.md                                      | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\distance_calculation.md                           | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\heatmap.md                                        | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\object_counter.md                                 | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\parking_management.md                             | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\queue_management.md                               | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\solutions\speed_estimation.md                               | Markdown     |         10 |          0 |          7 |         17 |
| d:\se\carplate\yolov10-pose\docs\en\reference\trackers\basetrack.md                                       | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\trackers\bot_sort.md                                        | Markdown     |         12 |          0 |          9 |         21 |
| d:\se\carplate\yolov10-pose\docs\en\reference\trackers\byte_tracker.md                                    | Markdown     |         12 |          0 |          9 |         21 |
